company_name,website,phone_number,primary_company_type,description,annual_sales,number_of_employee,year_founded,url
"Preissner Engineering & Consulting, LLC",https://pec-llc.com/,8553142904,Service Company*,"Specializing in engineering and consulting services for aerospace applications. Various capabilities include product development, designing, documentation, failure analysis, finite element analysis, rapid prototyping, research and development, solid modeling and testing. Meets AWS and SAE standards.",Under $1 Mil,9-Jan,2010,https://www.thomasnet.com/company/30489268/profile
Edwards Automation and Design LLC,https://emationdesign.com/,8883452951,Turnkey Systems Integrator*,"Turnkey systems integrator of automation control systems, programmable logic controllers (PLCs), variable frequency drives (VFDs), panels, and junction boxes. Programming, CAD, project management, and panel design services available. Serves the oil, gas, agriculture, mining, and water and wastewater industries. Panels are UL-508A listed.",$1 - 4.9 Mil,Oct-49,2020,https://www.thomasnet.com/company/30997279/profile
